Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,4.01e-05,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.2,0.02,2
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-4.970000e-06,0.04,0,0.08
-4.960000e-06,0.032,0.0008,0
-4.950000e-06,0.032,0,0
-4.940000e-06,0.032,0,0
-4.930000e-06,0.024,0.0008,0
-4.920000e-06,0.032,0.0008,0
-4.910000e-06,0.032,0,0
-4.900000e-06,0.024,0.0008,0
-4.890000e-06,0.032,0,0
-4.880000e-06,0.032,0,0
-4.870000e-06,0.032,0,0
-4.860000e-06,0.024,0,0
-4.850000e-06,0.032,0,0
-4.840000e-06,0.024,0,0
-4.830000e-06,0.032,0,0
-4.820000e-06,0.024,0,0
-4.810000e-06,0.032,0,0
-4.800000e-06,0.04,0,0
-4.790000e-06,0.032,0,0
-4.780000e-06,0.024,0,0.08
-4.770000e-06,0.032,0,0
-4.760000e-06,0.032,0,0.08
-4.750000e-06,0.024,0,0
-4.740000e-06,0.024,0.0008,0
-4.730000e-06,0.032,0,0
-4.720000e-06,0.032,0,0
-4.710000e-06,0.032,0,0
-4.700000e-06,0.04,0,0.08
-4.690000e-06,0.032,0,0
-4.680000e-06,0.032,0,0.08
-4.670000e-06,0.04,0.0008,0
-4.660000e-06,0.04,0,0.08
-4.650000e-06,0.032,0.0008,0
-4.640000e-06,0.04,0,0
-4.630000e-06,0.032,0,0
-4.620000e-06,0.024,0,0
-4.610000e-06,0.04,0,0
-4.600000e-06,0.024,0,0
-4.590000e-06,0.032,0,0
-4.580000e-06,0.032,0,0
-4.570000e-06,0.024,0,0
-4.560000e-06,0.024,0,0
-4.550000e-06,0.024,0,0
-4.540000e-06,0.032,-0.0008,0
-4.530000e-06,0.032,0,0
-4.520000e-06,0.04,0,0
-4.510000e-06,0.032,0,0
-4.500000e-06,0.032,0,0
-4.490000e-06,0.032,0,0
-4.480000e-06,0.032,0,0
-4.470000e-06,0.032,0,0
-4.460000e-06,0.032,0,0
-4.450000e-06,0.032,0,0
-4.440000e-06,0.032,0,0
-4.430000e-06,0.032,0,0
-4.420000e-06,0.024,-0.0008,0
-4.410000e-06,0.032,0,0.08
-4.400000e-06,0.032,0,0
-4.390000e-06,0.032,0,0
-4.380000e-06,0.032,0,0
-4.370000e-06,0.04,0,0
-4.360000e-06,0.024,-0.0008,0
-4.350000e-06,0.024,0,0.08
-4.340000e-06,0.032,-0.0008,0
-4.330000e-06,0.04,-0.0008,0
-4.320000e-06,0.032,0,0
-4.310000e-06,0.024,0,0
-4.300000e-06,0.032,0,0.08
-4.290000e-06,0.024,-0.0008,0
-4.280000e-06,0.032,0,0
-4.270000e-06,0.032,0,0
-4.260000e-06,0.024,-0.0008,0.08
-4.250000e-06,0.032,0,0
-4.240000e-06,0.032,0,0
-4.230000e-06,0.04,0,0
-4.220000e-06,0.032,0,0
-4.210000e-06,0.032,0,0
-4.200000e-06,0.032,0,0
-4.190000e-06,0.032,0,0
-4.180000e-06,0.032,0.0008,0
-4.170000e-06,0.032,0,0
-4.160000e-06,0.04,0.0008,0
-4.150000e-06,0.024,0,0
-4.140000e-06,0.024,0,0
-4.130000e-06,0.024,0,0
-4.120000e-06,0.032,0,0
-4.110000e-06,0.04,0,0
-4.100000e-06,0.04,0,0
-4.090000e-06,0.032,0,0
-4.080000e-06,0.032,0,0
-4.070000e-06,0.032,0,0
-4.060000e-06,0.032,0,0
-4.050000e-06,0.032,0,0
-4.040000e-06,0.032,0,0.08
-4.030000e-06,0.032,0,0
-4.020000e-06,0.04,0,0
-4.010000e-06,0.032,0,0
-4.000000e-06,0.024,0,0
-3.990000e-06,0.032,0.0008,0
-3.980000e-06,0.024,0,0
-3.970000e-06,0.024,0.0008,0.08
-3.960000e-06,0.04,0,0
-3.950000e-06,0.032,0,0
-3.940000e-06,0.032,0,0
-3.930000e-06,0.032,0.0008,0
-3.920000e-06,0.024,0,0
-3.910000e-06,0.032,0,0
-3.900000e-06,0.032,0,0
-3.890000e-06,0.024,0,0
-3.880000e-06,0.024,0,0
-3.870000e-06,0.032,0,0
-3.860000e-06,0.032,0,0
-3.850000e-06,0.032,0,0
-3.840000e-06,0.024,0,0.08
-3.830000e-06,0.024,0,0
-3.820000e-06,0.032,0,0
-3.810000e-06,0.032,0,0.08
-3.800000e-06,0.032,0,0
-3.790000e-06,0.032,0,0
-3.780000e-06,0.032,0,0
-3.770000e-06,0.024,0,0
-3.760000e-06,0.032,0,0.08
-3.750000e-06,0.032,0,0
-3.740000e-06,0.032,0,0
-3.730000e-06,0.024,0,0
-3.720000e-06,0.024,0,0
-3.710000e-06,0.032,0,0.08
-3.700000e-06,0.032,0,0
-3.690000e-06,0.032,0,0
-3.680000e-06,0.024,0,0
-3.670000e-06,0.032,0,0
-3.660000e-06,0.032,0,0
-3.650000e-06,0.032,0,0
-3.640000e-06,0.04,0,0
-3.630000e-06,0.032,0,0
-3.620000e-06,0.032,-0.0008,0
-3.610000e-06,0.04,-0.0008,0
-3.600000e-06,0.04,0,0
-3.590000e-06,0.024,0,0.16
-3.580000e-06,0.032,0,0
-3.570000e-06,0.024,0,0
-3.560000e-06,0.04,0,0
-3.550000e-06,0.024,0,0
-3.540000e-06,0.032,-0.0008,0
-3.530000e-06,0.032,0,0
-3.520000e-06,0.032,0,0
-3.510000e-06,0.024,0,0
-3.500000e-06,0.032,0,0.08
-3.490000e-06,0.032,0,0
-3.480000e-06,0.04,0,0
-3.470000e-06,0.024,-0.0008,0.08
-3.460000e-06,0.032,0,0
-3.450000e-06,0.032,0,0
-3.440000e-06,0.04,-0.0008,0
-3.430000e-06,0.024,0,0
-3.420000e-06,0.032,0,0
-3.410000e-06,0.032,0,0
-3.400000e-06,0.032,0,0
-3.390000e-06,0.032,0,0
-3.380000e-06,0.032,0,0
-3.370000e-06,0.032,0,0.08
-3.360000e-06,0.024,0,0
-3.350000e-06,0.032,0,0
-3.340000e-06,0.032,0,0
-3.330000e-06,0.032,0,0.08
-3.320000e-06,0.032,0,0
-3.310000e-06,0.032,0,0
-3.300000e-06,0.024,0,0.08
-3.290000e-06,0.032,0.0008,0.08
-3.280000e-06,0.04,0,0
-3.270000e-06,0.024,0,0.08
-3.260000e-06,0.032,0,0
-3.250000e-06,0.04,0,0.08
-3.240000e-06,0.032,0,0
-3.230000e-06,0.032,0,0
-3.220000e-06,0.032,0,0
-3.210000e-06,0.032,0,0.08
-3.200000e-06,0.024,0,0
-3.190000e-06,0.024,0,0
-3.180000e-06,0.024,0,0
-3.170000e-06,0.024,0,0
-3.160000e-06,0.04,0,0
-3.150000e-06,0.024,0,0
-3.140000e-06,0.032,0,0
-3.130000e-06,0.024,0,0
-3.120000e-06,0.032,0,0
-3.110000e-06,0.032,0,0
-3.100000e-06,0.032,0,0.08
-3.090000e-06,0.032,0,0
-3.080000e-06,0.032,-0.0008,0
-3.070000e-06,0.032,0,0
-3.060000e-06,0.024,0,0
-3.050000e-06,0.04,0,0
-3.040000e-06,0.024,0,0
-3.030000e-06,0.032,0,0.08
-3.020000e-06,0.032,0,0
-3.010000e-06,0.032,0,0
-3.000000e-06,0.032,0,0
-2.990000e-06,0.032,0,0
-2.980000e-06,0.024,0,0
-2.970000e-06,0.032,-0.0008,0
-2.960000e-06,0.032,0,0.08
-2.950000e-06,0.032,0,0
-2.940000e-06,0.04,0,0
-2.930000e-06,0.032,0,0
-2.920000e-06,0.032,0,0
-2.910000e-06,0.024,0,0
-2.900000e-06,0.032,0,0
-2.890000e-06,0.032,0,0
-2.880000e-06,0.032,0,0
-2.870000e-06,0.024,0,0
-2.860000e-06,0.032,0,0
-2.850000e-06,0.024,-0.0008,0
-2.840000e-06,0.024,0,0
-2.830000e-06,0.032,0,0
-2.820000e-06,0.024,0,0
-2.810000e-06,0.032,0,0
-2.800000e-06,0.032,0.0008,0
-2.790000e-06,0.04,0.0008,0
-2.780000e-06,0.04,0,0
-2.770000e-06,0.04,0,0
-2.760000e-06,0.032,0,0
-2.750000e-06,0.04,0,0
-2.740000e-06,0.04,0,0
-2.730000e-06,0.024,0,0.08
-2.720000e-06,0.032,0,0
-2.710000e-06,0.032,-0.0008,0
-2.700000e-06,0.032,0,0
-2.690000e-06,0.032,0,0
-2.680000e-06,0.024,0,0
-2.670000e-06,0.032,0,0
-2.660000e-06,0.032,0.0008,0.08
-2.650000e-06,0.032,0,0
-2.640000e-06,0.032,0,0.08
-2.630000e-06,0.04,0,0
-2.620000e-06,0.032,0,0
-2.610000e-06,0.032,0,0
-2.600000e-06,0.04,0,0
-2.590000e-06,0.032,0,0
-2.580000e-06,0.032,0,0
-2.570000e-06,0.032,0,0.08
-2.560000e-06,0.032,0,0
