Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-05,,
Horizontal Delay,4e-05,,
Sample Interval,1e-08,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,10,1,10
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.2,0.02,2
Vertical Position,0,0,0
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-4.830000e-06,0.04,0.0008,0.8
-4.820000e-06,0.032,0,0.8
-4.810000e-06,0.032,0,0.72
-4.800000e-06,0.032,0,0.8
-4.790000e-06,0.04,0,0.8
-4.780000e-06,0.024,0,0.8
-4.770000e-06,0.024,0,0.72
-4.760000e-06,0.032,0,0.8
-4.750000e-06,0.032,0,0.8
-4.740000e-06,0.032,0,0.72
-4.730000e-06,0.024,0,0.72
-4.720000e-06,0.032,0,0.8
-4.710000e-06,0.04,0,0.8
-4.700000e-06,0.032,0,0.72
-4.690000e-06,0.032,0,0.72
-4.680000e-06,0.032,0,0.72
-4.670000e-06,0.032,0,0.8
-4.660000e-06,0.024,0,0.72
-4.650000e-06,0.032,0,0.8
-4.640000e-06,0.04,0.0008,0.72
-4.630000e-06,0.032,0,0.8
-4.620000e-06,0.032,0,0.8
-4.610000e-06,0.04,0,0.8
-4.600000e-06,0.04,0,0.72
-4.590000e-06,0.032,0,0.72
-4.580000e-06,0.024,-0.0008,0.72
-4.570000e-06,0.032,0,0.8
-4.560000e-06,0.032,-0.0008,0.72
-4.550000e-06,0.032,0,0.72
-4.540000e-06,0.024,0,0.8
-4.530000e-06,0.024,0.0008,0.72
-4.520000e-06,0.04,-0.0008,0.72
-4.510000e-06,0.024,0,0.72
-4.500000e-06,0.032,0,0.64
-4.490000e-06,0.032,0,0.72
-4.480000e-06,0.016,0,0.8
-4.470000e-06,0.032,0,0.72
-4.460000e-06,0.032,0.0008,0.72
-4.450000e-06,0.04,0,0.72
-4.440000e-06,0.024,0,0.8
-4.430000e-06,0.032,0,0.8
-4.420000e-06,0.032,0,0.8
-4.410000e-06,0.032,0,0.72
-4.400000e-06,0.032,0,0.8
-4.390000e-06,0.024,0,0.72
-4.380000e-06,0.032,0,0.72
-4.370000e-06,0.024,0,0.72
-4.360000e-06,0.04,0,0.88
-4.350000e-06,0.032,0,0.8
-4.340000e-06,0.032,0,0.72
-4.330000e-06,0.024,0,0.72
-4.320000e-06,0.032,0,0.72
-4.310000e-06,0.032,0,0.72
-4.300000e-06,0.032,-0.0008,0.72
-4.290000e-06,0.032,0,0.72
-4.280000e-06,0.032,0,0.72
-4.270000e-06,0.032,0,0.8
-4.260000e-06,0.032,-0.0008,0.72
-4.250000e-06,0.04,0,0.8
-4.240000e-06,0.032,0,0.8
-4.230000e-06,0.032,0,0.72
-4.220000e-06,0.024,0,0.72
-4.210000e-06,0.024,0,0.72
-4.200000e-06,0.024,0,0.8
-4.190000e-06,0.032,0,0.8
-4.180000e-06,0.032,0,0.8
-4.170000e-06,0.032,0,0.8
-4.160000e-06,0.024,0,0.72
-4.150000e-06,0.032,0,0.8
-4.140000e-06,0.024,0,0.8
-4.130000e-06,0.032,0,0.72
-4.120000e-06,0.024,0,0.72
-4.110000e-06,0.04,0,0.8
-4.100000e-06,0.024,0.0008,0.8
-4.090000e-06,0.024,0,0.72
-4.080000e-06,0.04,0,0.8
-4.070000e-06,0.024,0,0.8
-4.060000e-06,0.024,-0.0008,0.72
-4.050000e-06,0.04,0,0.8
-4.040000e-06,0.024,0,0.72
-4.030000e-06,0.032,0,0.72
-4.020000e-06,0.024,0,0.8
-4.010000e-06,0.032,0,0.72
-4.000000e-06,0.024,0,0.72
-3.990000e-06,0.024,0,0.8
-3.980000e-06,0.032,0,0.72
-3.970000e-06,0.032,0,0.8
-3.960000e-06,0.032,0,0.72
-3.950000e-06,0.04,0,0.8
-3.940000e-06,0.032,0,0.72
-3.930000e-06,0.024,0,0.8
-3.920000e-06,0.032,0,0.72
-3.910000e-06,0.032,0,0.8
-3.900000e-06,0.032,0,0.72
-3.890000e-06,0.024,0,0.8
-3.880000e-06,0.032,0,0.72
-3.870000e-06,0.032,0,0.72
-3.860000e-06,0.032,0,0.88
-3.850000e-06,0.024,0.0008,0.72
-3.840000e-06,0.032,0,0.8
-3.830000e-06,0.032,0,0.72
-3.820000e-06,0.032,0,0.8
-3.810000e-06,0.024,0,0.72
-3.800000e-06,0.032,0,0.72
-3.790000e-06,0.032,0,0.8
-3.780000e-06,0.032,0,0.72
-3.770000e-06,0.04,0,0.8
-3.760000e-06,0.024,0,0.88
-3.750000e-06,0.032,0,0.8
-3.740000e-06,0.024,0,0.72
-3.730000e-06,0.024,0,0.8
-3.720000e-06,0.032,0,0.72
-3.710000e-06,0.032,0,0.72
-3.700000e-06,0.024,0,0.8
-3.690000e-06,0.024,0,0.8
-3.680000e-06,0.024,0,0.8
-3.670000e-06,0.024,0,0.8
-3.660000e-06,0.032,0,0.8
-3.650000e-06,0.032,0,0.72
-3.640000e-06,0.032,0,0.8
-3.630000e-06,0.024,0,0.72
-3.620000e-06,0.032,0,0.72
