Model,MDO3024
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-07
Horizontal Delay,0
Sample Interval,4e-10
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,0
,
,
,
Label,
TIME,CH1
-1.839200e-06,-0.0004
-1.838800e-06,-0.0008
-1.838400e-06,0
-1.838000e-06,-0.0004
-1.837600e-06,-0.0004
-1.837200e-06,0
-1.836800e-06,-0.0004
-1.836400e-06,-0.0004
-1.836000e-06,-0.0004
-1.835600e-06,-0.0004
-1.835200e-06,-0.0004
-1.834800e-06,-0.0004
-1.834400e-06,-0.0004
-1.834000e-06,-0.0004
-1.833600e-06,-0.0004
-1.833200e-06,-0.0004
-1.832800e-06,-0.0004
-1.832400e-06,-0.0004
-1.832000e-06,-0.0004
-1.831600e-06,-0.0004
-1.831200e-06,-0.0004
-1.830800e-06,-0.0004
-1.830400e-06,-0.0004
-1.830000e-06,-0.0004
-1.829600e-06,-0.0004
-1.829200e-06,-0.0004
-1.828800e-06,-0.0004
-1.828400e-06,-0.0004
-1.828000e-06,-0.0004
-1.827600e-06,-0.0004
-1.827200e-06,-0.0004
-1.826800e-06,0
-1.826400e-06,-0.0004
-1.826000e-06,0
-1.825600e-06,-0.0004
-1.825200e-06,-0.0004
-1.824800e-06,-0.0004
-1.824400e-06,-0.0004
-1.824000e-06,-0.0004
-1.823600e-06,-0.0004
-1.823200e-06,0
-1.822800e-06,-0.0004
-1.822400e-06,-0.0004
-1.822000e-06,-0.0004
-1.821600e-06,-0.0004
-1.821200e-06,-0.0004
-1.820800e-06,-0.0004
-1.820400e-06,-0.0004
-1.820000e-06,-0.0004
-1.819600e-06,-0.0004
-1.819200e-06,0
-1.818800e-06,-0.0004
-1.818400e-06,-0.0004
-1.818000e-06,0
-1.817600e-06,0
-1.817200e-06,-0.0004
-1.816800e-06,-0.0004
-1.816400e-06,-0.0004
-1.816000e-06,-0.0004
-1.815600e-06,-0.0004
-1.815200e-06,-0.0004
-1.814800e-06,-0.0004
-1.814400e-06,-0.0008
-1.814000e-06,-0.0008
-1.813600e-06,-0.0004
-1.813200e-06,-0.0004
-1.812800e-06,-0.0004
-1.812400e-06,-0.0004
-1.812000e-06,-0.0004
