event	t0	dt	ADC0	ADC1	ADC2	ADC3	ADC4
305	204449368	100	20837	20853	20837	20837	20869
306	204645801	109	25222	25158	25126	25094	25078
307	204837554	111	21797	21797	21781	21797	21781
308	205029110	104	16900	16900	16884	16852	16868
309	205219545	102	20805	20821	20805	20789	20789
310	205417077	105	18884	18884	18900	18916	18900
311	205610171	99	21461	21477	21477	21477	21477
312	205804776	113	19204	19156	19156	19156	19188
313	206014818	100	26326	26246	26182	26150	26086
314	206211533	117	18148	18132	18148	18132	18132
315	206404457	104	25926	25878	25830	25798	25766
316	206606687	109	21589	21573	21557	21525	21509
317	206803903	103	20052	20020	20020	20020	20020
318	207001549	111	21861	21845	21845	21877	21845
319	207193594	107	21173	21157	21157	21141	21157
320	207383589	105	20196	20196	20196	20180	20164
321	207578316	105	20565	20565	20549	20565	20533
322	207775906	112	20789	20789	20773	20789	20773
323	207969678	106	22117	22117	22149	22117	22149
324	208347852	107	21445	21445	21429	21445	21445
325	208540048	104	25862	25766	25734	25702	25670
326	208733584	104	21845	21813	21829	21813	21829
327	208939056	106	19108	19124	19124	19108	19140
328	209133006	108	21141	21141	21125	21093	21125
329	209328674	104	19524	19524	19508	19540	19492
330	209521551	109	21381	21429	21365	21397	21381
331	209715605	105	24469	24421	24437	24421	24405
332	209905920	100	22693	22677	22677	22645	22629
333	210101285	119	16003	15955	15955	15955	15955
334	210305856	102	22949	22933	22981	22933	22917
335	210500327	109	20388	20388	20404	20372	20436
336	210690445	123	24565	25782	25734	25702	25654
337	210885571	100	20837	20837	20837	20821	20837
338	211077931	103	19540	19604	19540	19540	19540
339	211280081	104	19220	19220	19220	19236	19220
340	211481429	110	15459	15427	15427	15427	15427
341	211677160	115	20885	20853	20869	20837	20837
342	211876352	101	21765	21765	21765	21733	21733
343	212077741	107	25046	25014	24982	24982	24934
344	212265905	103	22069	22069	22085	22053	22053
345	212734163	109	23621	23621	23637	23605	23605
346	212925718	110	22933	22853	22837	22837	22965
347	213117925	108	18452	18452	18452	18436	18436
348	213312989	105	21909	21893	21909	21893	21893
349	213507904	103	22293	22293	22293	22293	22277
350	213701515	108	23701	23701	23701	23701	23685
351	213903248	104	20629	20629	20661	20645	20645
352	214096569	104	21173	21189	21189	21189	21189
353	214289140	105	21221	21189	21205	21205	21189
354	214496729	106	15683	15683	15683	15683	15667
355	214698610	102	20452	20436	20452	20485	20436
356	214888139	107	18644	18628	18612	18628	18628
357	215078870	110	20068	20036	20036	20036	20020
358	215279536	103	22053	22037	22037	22021	22037
359	215474785	109	20501	20517	20517	20501	20533
360	215666653	106	21397	21397	21381	21413	21381
361	215861060	103	20949	20933	20933	20949	20933
362	216055430	103	21061	21077	21077	21077	21077
363	216247631	106	23301	23285	23269	23269	23253
364	216449201	107	18564	18580	18564	18564	18532
365	216641070	107	23893	23893	23861	23877	23845
366	217113891	109	21685	21669	21653	21669	21653
367	217309724	117	25574	25526	25494	25462	25430
368	217501281	102	20388	20372	20372	20356	20356
369	217697681	107	20645	20693	20693	20661	20661
370	217888891	108	21957	21957	21957	21941	21957
371	218083685	103	20677	20661	20677	20693	20677
372	218285107	99	19956	19972	19972	19988	19940
373	218475394	103	18404	18388	18372	18372	18404
374	218669671	105	18756	18756	18756	18740	18740
375	218864786	105	20260	20244	20260	20228	20244
376	219065341	100	23221	23189	23173	23189	23189
377	219265439	109	16676	16676	16676	16676	16692
378	219459559	119	24838	24774	24758	24758	24758
379	219657476	102	18772	18756	18756	18756	18756
380	219856551	99	24918	24886	24870	24838	24838
381	220046669	110	23589	23573	23589	23557	23557
382	220241839	114	27302	27142	27030	26934	31175
383	220432276	106	22901	22885	22869	22885	22917
384	220624367	105	26150	26070	26006	25990	25926
385	220821436	103	20949	20965	20949	20949	20917
386	221015720	106	20292	20228	20292	20260	20276
387	221205651	105	24774	24790	24726	24726	24710
388	221682969	103	20741	20709	20741	20709	20709
389	221881069	106	21269	21269	21253	21237	21269
390	222079345	100	22069	22053	22037	22037	22037
391	222272283	102	18292	18260	18244	18260	18260
392	222462809	108	20821	20805	20837	20805	20789
393	222658509	107	20132	20100	20100	20100	20116
394	222850808	98	24934	24886	24886	24854	24822
395	223044183	102	19604	19556	19556	19540	19540
396	223244665	112	20228	20244	20196	20180	20164
397	223435025	102	16804	16788	16772	16724	16772
398	223636151	103	21061	21045	21029	21045	21077
399	223832497	113	21221	21205	21205	21221	21189
400	224027945	106	22309	22277	22245	22245	22277
401	224220449	104	22933	22917	22933	22917	22917
402	224423404	114	20132	20100	20116	20116	20116
403	224615947	105	17444	17444	17428	17412	17428
404	224808115	102	27046	26982	26838	26758	26662
405	224996896	107	19284	19284	19268	19268	19284
406	225192643	112	22277	22293	22293	22277	22293
407	225385467	105	21029	21029	21029	21045	21013
408	225576223	108	20869	20853	20821	20837	20885
409	226050273	111	22581	22565	22565	22549	22533
410	226252540	107	21717	21701	21733	21701	21701
411	226445432	106	25830	25750	25686	25654	25622
412	226642768	107	19236	19220	19204	19220	19220
413	226835815	104	21221	21253	21269	21221	21221
414	227035608	106	22485	22485	22453	22453	22437
415	227229402	106	24517	24501	24501	24469	24469
416	227424881	107	26678	26502	26422	26374	26310
417	227622092	112	21925	21893	21925	21893	21893
418	227813365	106	26262	26198	26118	26070	26038
419	228002377	107	24998	24950	24934	24902	24918
420	228203833	109	23557	23541	23557	23509	23509
421	228396159	102	17460	17460	17444	17444	17460
422	228586138	101	21093	21093	21077	21093	21077
423	228782500	98	23957	23941	23893	23893	23893
424	228977312	107	20180	20164	20180	20164	20164
425	229172559	107	21989	21989	21973	21957	21973
426	229376301	102	21861	21845	21845	21845	21845
427	229563950	103	20549	20549	20565	20549	20581
428	229758795	106	23701	23717	23733	23701	23685
429	229952422	104	23301	23317	23301	23301	23285
430	230418834	109	21269	21253	21253	21221	21253
431	230618231	109	21589	21605	21589	21589	21573
432	230808913	110	20837	20837	20869	20837	20837
433	231003701	102	17764	17764	17764	17748	17764
434	231199613	102	21765	21829	21765	21765	21765
435	231392835	102	20052	20052	20052	20052	20052
436	231585717	108	20436	20452	20452	20452	20452
437	231783288	102	17492	17508	17508	17508	17492
438	231980510	102	22485	22469	22453	22453	22453
439	232173998	124	20148	20116	20116	20116	20148
440	232367752	101	21605	21589	21589	21605	21589
441	232579336	107	14195	14163	14179	14147	14163
442	232771940	110	19924	19924	19940	19924	19924
443	232963337	104	17604	17604	17620	17588	17604
444	233161985	107	20741	20741	20741	20693	20725
445	233356366	107	20084	20100	20100	20100	20068
446	233547837	103	22309	22261	22277	22293	22245
447	233744571	112	14755	14771	14755	14755	14755
448	233936897	99	22693	22661	22661	22629	22629
449	234130134	102	20901	20901	20901	20917	20901
450	234337054	116	16836	16820	16836	16820	16836
451	234529067	109	24774	24726	24694	24662	24662
452	235008299	105	19588	19604	19604	19604	19556
453	235201966	100	23653	23653	23637	23637	23621
454	235394375	102	19268	19332	19268	19268	19268
455	235592252	106	17316	17332	17332	17316	17316
456	235784001	109	22261	22245	22261	22229	22213
457	235976961	117	18084	18036	18068	18052	18020
458	236178107	113	18964	18948	18900	18948	18948
459	236367647	101	18916	18900	18916	18900	18900
460	236559082	119	24774	24742	24758	24678	24710
461	236759694	108	19812	19812	19812	19860	19812
462	236956440	104	20805	20789	20789	20789	20789
463	237149892	109	24517	24469	24469	24469	24437
464	237350455	101	18708	18708	18660	18660	18660
465	237542131	106	20004	19988	19988	19988	19972
466	237732801	104	18388	18356	18356	18388	18372
467	237933743	105	15427	15427	15459	15411	15411
468	238129556	99	20533	20452	20436	20436	20452
469	238319796	115	20420	20420	20420	20420	20404
470	238519907	104	20164	20180	20180	20180	20196
471	238720491	106	21829	21829	21813	21813	21813
472	238913983	108	22245	22213	22229	22213	22213
473	239384579	108	23061	23045	23045	23029	23045
474	239582522	104	19988	19972	19972	20004	19972
475	239784153	102	20324	20308	20324	20308	20324
476	239985710	109	20452	20485	20452	20452	20436
477	240182166	105	20388	20372	20372	20372	20340
478	240371426	111	22853	22853	22837	22821	22821
479	240568464	106	18836	18820	18788	18788	18788
480	240761328	100	22997	22997	23013	22997	22997
481	240951611	112	19860	19876	19844	19844	19860
482	241149331	112	23893	23893	23893	23845	23861
483	241342936	109	20581	20629	20581	20565	20565
484	241548405	108	18052	18068	18052	18036	18020
485	241745950	109	19588	19604	19524	19524	19524
486	241940721	104	21765	21717	21733	21717	21733
487	242133548	104	22213	22213	22197	22213	22197
488	242333203	107	21989	22021	22021	21989	21973
489	242528185	109	21845	21973	21973	21941	21957
490	242719705	101	19556	19556	19588	19556	19540
491	242916004	107	19172	19140	19220	19156	19172
492	243103806	111	22885	22869	22917	22853	22885
493	243298686	106	21861	21845	21909	21861	21829
494	243779302	115	18740	18724	18740	18708	18724
495	243971593	105	19428	19412	19428	19476	19428
496	244167313	108	21781	21781	21765	21781	21765
497	244361229	102	22757	22725	22741	22709	22709
498	244560834	103	23845	23813	23781	23749	23765
499	244760991	105	19460	19444	19428	19444	19412
500	244953692	105	19476	19476	19492	19492	19476
501	245148537	110	21797	21829	21797	21813	21813
502	245341864	112	22949	22949	22933	22933	22933
503	245537698	104	27334	27158	27046	26950	26838
504	245728880	105	21429	21461	21429	21413	21413
505	245925724	111	19556	19540	19556	19524	19540
506	246120457	108	21701	21669	21669	21669	21653
507	246311542	105	20404	20388	20404	20420	20404
508	246500140	101	23557	23557	23541	23557	23509
509	246708924	101	20372	20388	20356	20324	20340
510	246904472	114	21029	20965	21013	20997	20997
511	247099031	103	21205	21221	21205	21205	21173
512	247296521	106	20821	20821	20805	20805	20805
513	247491651	112	20517	20517	20501	20517	20533
514	247697752	115	16500	16516	16548	16516	16516
515	247899423	106	19364	19300	19300	19284	19300
516	248363220	112	18644	18612	18612	18612	18612
517	248558399	108	21013	21029	21013	20997	20981
518	248755097	106	20709	20677	20677	20677	20677
519	248957694	100	26710	26646	26534	26454	26390
520	249154053	99	19156	19156	19172	19156	19124
521	249347424	106	21813	21765	21781	21781	21781
522	249542448	105	20517	20501	20501	20501	20501
523	249743389	101	19156	19172	19172	19156	19172
524	249943232	105	20917	20901	20901	20901	20917
525	250143504	102	21973	21957	21941	21957	21941
526	250359045	100	21237	21269	21237	21221	21205
527	250554410	123	22405	22405	22357	22357	22373
528	250748090	104	21765	21749	21765	21765	21733
529	250951023	107	20228	20228	20228	20228	20244
530	251139885	102	21285	21205	21237	21253	21221
531	251331584	103	19812	19812	19796	19796	19796
532	251526940	104	22805	22805	22853	22805	22789
533	251721421	109	20004	20036	19988	20020	20004
534	251915555	105	22277	22229	22261	22245	22277
535	252112125	112	19684	19652	19716	19668	19780
536	252311220	98	23877	23877	23845	23845	23845
537	252790093	101	15907	15923	15907	15891	15907
538	252980770	102	20388	20324	20324	20356	20340
539	253172763	106	20052	19988	19988	19988	20004
540	253368573	103	21493	21461	21461	21461	21445
541	253565540	106	22789	22789	22837	22789	22789
542	253762843	98	21573	21557	21541	21557	21541
543	253953810	106	23509	23477	23477	23477	23477
544	254148952	107	15155	15155	15171	15171	15171
545	254338557	107	22677	22661	22677	22645	22677
546	254530622	107	21029	20997	21013	21013	21029
547	254728128	100	20196	20228	20196	20196	20180
548	254928324	111	23205	23205	23221	23205	23221
549	255125046	107	20661	20661	20645	20629	20629
550	255322827	110	18132	18116	18116	18116	18116
551	255516635	107	23493	23477	23461	23445	23461
552	255705066	107	27222	27078	26950	26886	26790
553	255904600	109	21941	21941	21909	21909	21893
554	256100541	100	24469	24421	24421	24421	24405
555	256292038	109	17588	17588	17572	17588	17572
556	256492157	110	23061	23045	23045	23045	23077
557	256691110	104	18564	18564	18532	18532	18532
558	257170987	106	22725	22693	22677	22677	22677
559	257364615	110	20549	20565	20533	20533	20549
560	257558909	110	22581	22565	22549	22549	22581
561	257761202	97	22437	22421	22405	22405	22421
562	257953919	108	17332	17316	17316	17316	17300
563	258146964	108	19124	19140	19156	19124	19124
564	258338416	110	22725	22725	22693	22709	22725
565	258533926	101	22261	22245	22245	22229	22245
566	258725418	107	21205	21221	21221	21205	21189
567	258916075	103	20452	20452	20452	20452	20468
568	259111750	109	26518	26406	26342	26310	26214
569	259319034	121	18308	18260	18292	18276	18276
570	259512823	104	25862	25830	25798	25766	25782
571	259716365	107	18452	18436	18420	18404	18452
572	259910454	106	23013	22981	22981	22981	22965
573	260106910	104	20228	20228	20196	20228	20196
574	260304540	107	25878	25798	25750	25718	25686
575	260498868	103	24101	24085	24069	24069	24053
576	260696100	106	21685	21701	21685	21685	21717
577	260893087	104	20965	20949	20933	20933	20933
578	261093076	107	17044	16980	16996	16980	16980
579	261283241	106	20853	20837	20821	20821	20805
580	261749718	107	22293	22277	22293	22293	22261
581	261941546	106	17268	17268	17284	17252	17236
582	262145573	101	20997	21013	21013	20997	20997
583	262342300	103	20196	20180	20180	20180	20164
584	262537235	105	18612	18612	18644	18596	18596
585	262737766	109	22053	21973	21973	21973	21957
586	262932697	101	19988	19988	19988	19988	20004
587	263127323	112	24389	24341	24341	24325	24341
588	263332251	106	20356	20356	20372	20356	20404
589	263519554	110	20340	20324	20324	20308	20308
590	263717604	106	22405	22373	22421	22373	22357
591	263919068	103	20901	20869	20853	20869	20869
592	264109651	121	14819	14819	14819	14819	14867
593	264303567	107	20997	20965	20965	20965	20997
594	264493688	105	18692	18708	18708	18708	18708
595	264690307	104	19924	19940	19940	19972	19940
596	264889378	104	20581	20581	20581	20581	20565
597	265086193	107	21669	21653	21653	21637	21621
598	265289401	101	15283	15283	15283	15283	15315
599	265487421	102	19924	19908	19924	19908	19908
600	265680737	104	21893	21845	21845	21829	21829
601	266155848	110	18676	18708	18644	18644	18676
602	266347155	102	20148	20164	20148	20180	20180
